sin(HooC), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745,   -285.8659277742
    0.099916691435351,   -286.0940412778,   -285.9447608822,   -285.9156535726,   -285.8656067631
    0.199334000837847,   -286.0925973546,   -285.9430734734,   -285.9148418392,   -285.8646318203
    0.297755063068082,   -286.0901546587,   -285.9402316963,   -285.9134386434,   -285.8629711982
    0.394687960034412,   -286.0866604201,   -285.9361902360,   -285.9113721511,   -285.8605719234
    0.489648246104758,   -286.0820409968,   -285.9308817378,   -285.9085452690,   -285.8573592324
    0.582161302792315,   -286.0761983434,   -285.9242110536,   -285.9048339795,   -285.8532335358
    0.671764776330287,   -286.0690018124,   -285.9160451740,   -285.9000808753,   -285.8480637365
    0.758010819370370,   -286.0602727728,   -285.9061961289,   -285.8940820365,   -285.8416744020
    0.840468386155534,   -286.0497569133,   -285.8943906511,   -285.8865625819,   -285.8338224553
    0.918725366923077,   -286.0370710208,   -285.8802121379,   -285.8771291941,   -285.8241518608
    0.992390631174875,   -286.0215887332,   -285.8629757920,   -285.8651671517,   -285.8120962874
    1.061096013130844,   -286.0021498180,   -285.8414109357,   -285.8495767534,   -285.7966320035
    1.124498123190104,   -285.9760833633,   -285.8125956182,   -285.8278848320,   -285.7754520328
    1.182280084305235,   -285.9330008709,   -285.7652410344,   -285.7905836424,   -285.7397870231
