Contour value = 0.9
368640 = number of vibrational basis functions from initial-state totally symemtric irreducible
368640 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1      -38.88297      -13.64108          4              3.00256
   2      -27.64512       -8.62532          3              2.12528
   3      -16.53631        3.74243          1              0.60908
   4      -10.50260        7.60369          1              0.03427
   5       -3.33193       14.71021          1              0.56719
   6      -14.84641        1.88140          1              0.70038
   7      -14.95171        1.47905          1              0.90979
   8       -8.58575        6.20652          1              0.02825
   9      -17.49084       -3.06906          2              1.88216
  10       -5.03236        5.39065          0             -0.06337
  11       -4.67355        5.70918          0             -0.00683
  12       -6.37058        3.94747          1              0.12110
  13       -7.53921        2.65361          1              0.38702
  14      -19.07145       18.32721          0             -0.18158
  15       38.62216       55.11456          5              4.86022
  16       -9.12772       15.66254          1              0.00335
  17       -9.55120       14.03859          1              0.07188
  18      -10.04189       10.78625          0             -0.09722
  19       -9.11768       10.02617          0             -0.09694
  20       -9.59812        8.97550          0             -0.09483
  21       -9.80325        9.80328          0             -0.90664
  22      -13.66138       13.66136          0             -0.03805
  23      -11.56082       11.56062          0             -0.10608
  24       -8.59618        8.59622          0             -0.12994
  25       -8.49343        8.49344          0             -0.11368
  26       -8.49164        8.49144          0             -0.06969
  27       -7.55257        7.55269          0             -0.09508
  28       -7.96888        7.96888          0             -0.04019
  29       -7.53667        7.53672          0             -0.05226
  30       -5.26926        5.26922          0             -0.08142
  31       -5.24441        5.24445          0             -0.08455
  32       -4.99656        4.99661          0             -0.09837
  33      -16.38968       16.38976          0             -1.10817
  34      -13.95162       13.95160          0             -0.22755
  35      -10.11922       10.11908          0             -0.16275
  36      -10.34069       10.34065          0             -0.06261
